iter	R2	MAPE
77	0.3895024129	0.1247258069
78	0.3953547875	0.1238590062
79	0.3983677293	0.1234144879
80	0.4076635163	0.1226802511
81	0.4119009885	0.1221407866
82	0.419176522	0.1216042844
83	0.4265190649	0.121123316
84	0.4336633781	0.1204495022
85	0.4362610089	0.1199803072
86	0.4401069919	0.1198027817
87	0.4429000468	0.1193420181
88	0.4474142704	0.1188364851
89	0.4501598917	0.1183028089
90	0.4592373195	0.1175888075
91	0.4633145636	0.1172611688
92	0.4711135222	0.1167578967
93	0.4782651139	0.1161560589
94	0.4801770118	0.1158561443
95	0.4820672388	0.1154448965
96	0.484470619	0.1150998613
97	0.4888279679	0.1145312046
98	0.4953521665	0.114038835
99	0.4981547128	0.1135295853
100	0.50250921	0.1129857808
101	0.5049536799	0.1124545125
102	0.5081422792	0.111917153
103	0.5115120272	0.1113819647
104	0.5185586342	0.1106645921
105	0.5213989036	0.1102939074
106	0.5289849706	0.1096414885
107	0.5358903886	0.1090931886
108	0.5375486678	0.1087889736
109	0.5400763514	0.1083064285
110	0.5427876221	0.1079920733
111	0.5450599683	0.1075160197
112	0.550866199	0.1070138529
113	0.5560682999	0.1064329
114	0.5614761468	0.1058981731
115	0.5637494517	0.1056435311
116	0.5646982427	0.1053591553
117	0.5680896991	0.1048093331
118	0.5684096929	0.1047465145
119	0.5743195547	0.1041926181
120	0.5773139588	0.1038241136
121	0.5835325142	0.103348644
122	0.5854344249	0.103088822
123	0.5890746796	0.102540535
124	0.5914887665	0.1021982171
125	0.5976656073	0.1016444472
126	0.6001338781	0.1012710698
127	0.6013231083	0.1009940527
128	0.603249804	0.1005208573
129	0.6076156915	0.1000218226
130	0.6081249803	0.09990315462
131	0.6113037185	0.09938709791
132	0.6159743865	0.09900208983
133	0.6185922485	0.09860358391
134	0.6208454384	0.09808958139
135	0.6226280079	0.09776307169
136	0.6261547289	0.09743193624
137	0.6289023212	0.09728920189
138	0.6298975202	0.0970359287
139	0.6318503952	0.09665403732
140	0.6339195865	0.09629017351
141	0.6366208176	0.09588346959
142	0.6385868577	0.09536537318
143	0.6402223073	0.09496651104
144	0.6410336313	0.09475156646
145	0.6432826578	0.094371687
146	0.6454016177	0.09394027585
147	0.6482694585	0.09339933151
148	0.6502556283	0.09297063547
149	0.6512193055	0.09279275562
150	0.6557518332	0.09232904461
151	0.6563919478	0.09216278942
152	0.6613425576	0.09168154758
153	0.6615392413	0.09162516301
154	0.6634849311	0.09112158981
155	0.6667924385	0.0908308006
156	0.6679529708	0.09056860677
157	0.6697769425	0.09018431443
158	0.6729907265	0.0897669
159	0.6744760525	0.0894532745
160	0.6776990403	0.08918984778
161	0.6807964279	0.08890266086
162	0.6822932963	0.08863246705
163	0.6865122709	0.08823270144
164	0.690330913	0.08777020034
165	0.6910437146	0.08758938575
166	0.6937052726	0.08730731566
167	0.6949533763	0.0869045509
168	0.6955933292	0.08670762231
169	0.6976674355	0.08628617778
170	0.7011840147	0.08603785826
171	0.7031831755	0.08566928148
172	0.7061394956	0.08533337022
173	0.7097026644	0.08499113694
174	0.7137771321	0.08456774798
175	0.7143521625	0.08452722773
176	0.7152438395	0.08427350176
177	0.7157761726	0.08414812069
178	0.7166252692	0.0838751651
179	0.7176926101	0.08363668414
180	0.7196937989	0.08334052904
181	0.7239322173	0.08294001294
182	0.7251640179	0.08258887686
183	0.7270196507	0.08222932556
184	0.7283431038	0.08196412221
185	0.7311210555	0.08177565847
186	0.7319842536	0.08152447047
187	0.7344413948	0.0812450046
188	0.7356733534	0.08101253301
189	0.7387078396	0.08060602868
190	0.738711076	0.08060221741
191	0.7393179321	0.08046381646
192	0.7415381199	0.08025208373
193	0.7438264919	0.07997941297
194	0.7465612266	0.07973669028
195	0.7471088307	0.07959711768
196	0.7499627437	0.07931482649
197	0.75235213	0.07903414354
198	0.7536129262	0.07881497189
199	0.755164764	0.07858235305
200	0.757287299	0.0784803789
201	0.7578867473	0.07831120871
202	0.7606091507	0.07797742702
203	0.7619324099	0.07770048294
204	0.7644526142	0.07739231629
205	0.7657334708	0.07709303681
206	0.7667717237	0.07688795222
207	0.7690566196	0.07657595668
208	0.7709735517	0.07634612829
209	0.7736101705	0.0760556367
210	0.7745756565	0.07577244912
211	0.7778180835	0.07541475855
212	0.7783502939	0.07524116873
213	0.7789380596	0.07506181221
214	0.779923144	0.07486826829
215	0.7826297851	0.07451094675
216	0.7837046259	0.07423804648
217	0.785899492	0.07406986866
218	0.7860852503	0.07397912701
219	0.7861988834	0.07392916202
220	0.7872348529	0.07374156317
221	0.7883766658	0.07345336105
222	0.7909276537	0.07309932641
223	0.7927251448	0.07291353651
224	0.7936604232	0.07269166575
225	0.7954778399	0.0724671632
226	0.7976295657	0.07230167814
227	0.7983806568	0.07214855866
228	0.8000010027	0.07194937326
229	0.8010496102	0.07173442158
230	0.8029282885	0.07156989801
231	0.8052340534	0.07123487623
232	0.8067378368	0.0709674716
233	0.8090882069	0.07072643461
234	0.8109015844	0.07056081773
235	0.8123072737	0.07035079444
236	0.8132117774	0.07019672292
237	0.8153582474	0.06999311377
238	0.8157270938	0.06986946929
239	0.8176341115	0.06953951463
240	0.8186180878	0.06927824199
241	0.8191295282	0.06906410025
242	0.8195801343	0.06893251537
243	0.8203469704	0.06876086019
244	0.8209483882	0.06860962716
245	0.8220094901	0.0683638266
246	0.8223915533	0.06823399206
247	0.8243050906	0.06796414841
248	0.824570516	0.06783928225
249	0.8258134406	0.06771809118
250	0.8265774131	0.06755334591
251	0.8267133113	0.06748664561
252	0.8271044836	0.06732900807
253	0.8287519166	0.06713979965
254	0.8294763994	0.06686848452
255	0.8305179363	0.06666477679
256	0.8317001556	0.06645704193
257	0.8320842366	0.06627515143
258	0.8338525699	0.0660806374
259	0.8346560652	0.06591458953
260	0.8346635566	0.06590737695
261	0.8351963621	0.06573532726
262	0.8364434082	0.06558736607
263	0.8384182497	0.06536547438
264	0.8389962261	0.06517800836
265	0.8394905197	0.06494048495
266	0.840157168	0.06477756227
267	0.8421443081	0.06449331423
268	0.8436002893	0.06422322366
269	0.8440155784	0.06412024354
270	0.8456690513	0.0638849934
271	0.8460148936	0.06377251943
272	0.8476323733	0.06357327311
273	0.8484242372	0.06331588507
274	0.849718176	0.06306172213
275	0.851525888	0.06272534728
276	0.8528335767	0.06252675597
277	0.8546074622	0.0622763573
278	0.8556143589	0.06207305714
279	0.8569712501	0.0619188516
280	0.8581985451	0.06178029917
281	0.8593449713	0.061562603
282	0.8602161395	0.0613341417
283	0.8616261763	0.06114256382
284	0.8620927949	0.06097474229
285	0.8628485018	0.06065404498
286	0.8640172192	0.0604047741
287	0.8644763475	0.06030413464
288	0.8656286635	0.06006466559
289	0.8673643962	0.0597304437
290	0.867659822	0.05960169038
291	0.8679565733	0.0594684627
292	0.8688265917	0.05923429488
293	0.8689919021	0.05914928617
294	0.8692052194	0.05905354004
295	0.869453738	0.05895914664
296	0.8700286291	0.05878066282
297	0.8714422498	0.05856228213
298	0.872191683	0.05840139212
299	0.8738158609	0.05814739091
300	0.8751402403	0.05798080044
301	0.8753388064	0.05788434119
302	0.8762345989	0.05772805829
303	0.8769351512	0.05766480385
304	0.8777895741	0.0575140035
305	0.8779608985	0.0574156428
306	0.8783964096	0.0573235606
307	0.8794881742	0.05718403592
308	0.8810288309	0.05692952283
309	0.8814368127	0.05676814519
310	0.8828785263	0.05651830861
311	0.8831013242	0.05643885435
312	0.8837296902	0.05631920032
313	0.8837798231	0.05628041198
314	0.8841749361	0.05620329799
315	0.8849622067	0.05600390724
316	0.8853356636	0.05582460917
317	0.8860180796	0.05571405121
318	0.8868742921	0.05561066113
319	0.8881806808	0.05535664593
320	0.888885137	0.05517187746
321	0.8890211928	0.05508209228
322	0.8900470245	0.05492974277
323	0.8902389002	0.0548229117
324	0.8911904977	0.05461703602
325	0.8923617729	0.0544310401
326	0.8925272164	0.05437846989
327	0.8932830461	0.05422252783
328	0.8936683582	0.0540613498
329	0.8943852884	0.05393908119
330	0.8955880474	0.05366548818
331	0.8957076966	0.05358441596
332	0.8959849118	0.05342081528
333	0.8963307618	0.05324286281
334	0.896928257	0.05311039833
335	0.8972234955	0.05304199845
336	0.8983713844	0.05288434811
337	0.8992359184	0.05273351532
338	0.9000479426	0.05261236701
339	0.9007261998	0.0524653544
340	0.9015822283	0.05229777999
341	0.9017451063	0.05222113349
342	0.9019363988	0.05214299439
343	0.9020400912	0.05208202274
344	0.902937135	0.05187376469
345	0.9032040036	0.05179577558
346	0.9033943584	0.05166446936
347	0.903599576	0.05155711881
348	0.9038279472	0.05143116231
349	0.9047562649	0.05122771662
350	0.9054890188	0.05104255585
351	0.9055821676	0.05097845977
352	0.9061911275	0.05077638706
353	0.9064895583	0.05064139687
354	0.90767191	0.05048021697
355	0.9080528399	0.05036414069
356	0.9085680392	0.05022652275
357	0.908858556	0.05014023986
358	0.9089459658	0.05008226737
359	0.9093868764	0.04991862569
360	0.9101806896	0.04984129373
361	0.9106014643	0.04980108958
362	0.9109918849	0.04976596825
363	0.911157469	0.04968245086
364	0.9114632315	0.04958689046
365	0.9117697394	0.04940190857
366	0.9123580152	0.04930882716
367	0.9126774644	0.04919494534
368	0.9131634422	0.04903176256
369	0.91350118	0.04894629494
370	0.9140720643	0.04884324684
371	0.9142087157	0.04878157115
372	0.9147309362	0.04869869562
373	0.9152248315	0.04860149991
374	0.9156417514	0.04845878629
375	0.9162133471	0.04829664643
376	0.9168503562	0.04821009313
377	0.9169403035	0.04815856512
378	0.9174896614	0.04808316977
379	0.9178333957	0.04798030736
380	0.9185076788	0.04780152352
381	0.9185604693	0.04775461804
382	0.9193226541	0.04765621715
383	0.9200017553	0.04750017856
384	0.9205675721	0.04739483352
385	0.920920461	0.04731942936
386	0.9212562455	0.0471228896
387	0.9217422588	0.04703595234
388	0.922049452	0.04694575418
389	0.9220603742	0.04693536312
390	0.922537414	0.04683420662
391	0.9231315068	0.04672451128
392	0.9236309536	0.04664402444
393	0.9236361469	0.04663660424
394	0.9237148932	0.04659183652
395	0.9240260171	0.0465425336
396	0.9241356659	0.04647001444
397	0.9246006828	0.04637717587
398	0.9248097178	0.04630116332
399	0.9251069171	0.0462260278
400	0.9258188682	0.04606577787
401	0.9260933126	0.04598009472
402	0.9263769906	0.04591565604
403	0.9266265254	0.04583418573
404	0.9268368864	0.04578536681
405	0.9273647888	0.045689843
406	0.9275912008	0.04562008774
407	0.9279568988	0.04552843972
408	0.928198938	0.04543317743
409	0.9285700954	0.04535390628
410	0.9286619551	0.0452880223
411	0.9290679595	0.04516203624
412	0.9293045477	0.04508520269
413	0.9297515084	0.04498719939
414	0.9298176579	0.0449351629
415	0.9298841057	0.04489180005
416	0.9299266803	0.04485782103
417	0.9300987335	0.04477675828
418	0.9302800642	0.04473253575
419	0.9307784269	0.04462068404
420	0.9312375245	0.04449458041
421	0.9314797997	0.04439837354
422	0.9315612945	0.04434286124
423	0.9317318896	0.04425928447
424	0.931816876	0.0441879634
425	0.9319821021	0.04412461208
426	0.9322461814	0.04403327171
427	0.932504846	0.04399884859
428	0.9329954161	0.0439239125
429	0.9330747036	0.04387316176
430	0.9333438151	0.04378819204
431	0.9339390768	0.04362315098
432	0.9340934354	0.04354575028
433	0.934095788	0.04354100353
434	0.9343207777	0.04346919888
435	0.934682634	0.04341412662
436	0.9349814765	0.04333199531
437	0.9350645713	0.0432977496
438	0.93514382	0.04326677114
439	0.9355412809	0.04316419345
440	0.9359853053	0.04309660064
441	0.9362555203	0.04297217697
442	0.9363563649	0.04293302024
443	0.9366330358	0.04280161954
444	0.9371668085	0.04268861353
445	0.9371822463	0.04267373351
446	0.9376485682	0.04251906904
447	0.9379406036	0.04239825653
448	0.938363168	0.04233375971
449	0.938515695	0.04223177731
450	0.9388353614	0.04217654145
451	0.939243137	0.04199947994
452	0.9394182313	0.04194054822
453	0.9397099124	0.04185906066
454	0.9399254946	0.04171301312
455	0.940034881	0.04166678255
456	0.9405579425	0.04155552452
457	0.9409311601	0.04145651294
458	0.9412913415	0.04137715943
459	0.9413565604	0.04131582741
460	0.9414478448	0.04126455858
461	0.9418575179	0.04117801471
462	0.9421101362	0.04109110569
463	0.942140669	0.04106475205
464	0.9422762816	0.04101550188
465	0.9425450848	0.0409380297
466	0.9427901705	0.0408564535
467	0.9430640984	0.04076143215
468	0.9432925354	0.0406655928
469	0.9436362336	0.04055286414
470	0.9439931641	0.04048511027
471	0.944426559	0.04038293205
472	0.944557508	0.04033966412
473	0.9445866745	0.04030561231
474	0.9447770329	0.04025617223
475	0.9451458116	0.04017046194
476	0.9454131318	0.0400546986
477	0.9455182836	0.03997734465
478	0.9458503645	0.0398777547
479	0.9459056238	0.03984572347
480	0.9462613555	0.03977140049
481	0.9464757576	0.03969905272
482	0.9468459635	0.03959595485
483	0.9469028646	0.03955050069
484	0.9469032438	0.03955001752
485	0.9471297213	0.03948977553
486	0.9475016945	0.0393746233
487	0.9475699663	0.03930732489
488	0.9475798138	0.03929149749
489	0.94800896	0.03918769547
490	0.9482786652	0.0391093752
491	0.9484166655	0.03904913494
492	0.9486291063	0.0389568659
493	0.9488036099	0.03888583092
494	0.9488813221	0.0388151123
495	0.9489286353	0.03879395892
496	0.9491921325	0.03873048798
497	0.9494653237	0.0385911458
498	0.9498393152	0.03849878874
499	0.9500558528	0.03845628312
500	0.9502512242	0.03838794044
501	0.9505282546	0.03832495018
502	0.9505711221	0.03828056243
503	0.9509193912	0.03819018247
504	0.9510885663	0.03810202563
505	0.9513234876	0.03803357789
506	0.9514928627	0.03799349918
507	0.9517172642	0.03785281496
508	0.9517902499	0.03779797646
509	0.9521905609	0.03767454589
510	0.9525024757	0.03757121498
511	0.9525915843	0.0375097053
512	0.9528220229	0.03738990094
513	0.9531137565	0.03732462028
514	0.9533844866	0.03724124711
515	0.9535433413	0.03717353831
516	0.9537424439	0.03709921426
517	0.9539211159	0.03703647044
518	0.9543629936	0.03685089754
519	0.9546217115	0.03678386443
520	0.9547179287	0.03672100387
521	0.954860474	0.03668577842
522	0.955068297	0.03664494387
523	0.9552456296	0.03656916237
524	0.9555638132	0.03650062059
525	0.9556695769	0.03641713245
526	0.955886015	0.03632644484
527	0.9560298193	0.03623963521
528	0.9561059056	0.03620094516
529	0.9562145572	0.03614712028
530	0.9564088751	0.03604647135
531	0.9564441609	0.03600780588
532	0.9566051479	0.0359428942
533	0.9566860464	0.03589675304
534	0.9568347728	0.03585334339
535	0.9570390407	0.0357351803
536	0.9572963932	0.03559258576
537	0.9575711122	0.03551329967
538	0.9578168736	0.03538352997
539	0.9579307269	0.03530703785
540	0.9580196932	0.03525412039
541	0.958172292	0.03519155721
542	0.9583673837	0.03515022934
543	0.9585017772	0.03507904155
544	0.958696814	0.03497815505
545	0.9589759027	0.03484647785
546	0.9591279747	0.03479959581
547	0.9592756156	0.03474149284
548	0.9592997768	0.03471702471
549	0.9593404358	0.03469546403
550	0.9594514269	0.03465884585
551	0.9595702389	0.03461377708
552	0.9598947243	0.03454554117
553	0.9600709952	0.0344750861
554	0.9601151514	0.0344329912
555	0.9603959123	0.03429010987
556	0.9606033566	0.03416328139
557	0.9606946763	0.03409270046
558	0.9607754057	0.03402274448
559	0.9609893393	0.03392475428
560	0.9610923435	0.03388586142
561	0.9611020284	0.03387323825
562	0.9612369601	0.03381276355
563	0.9613440977	0.03373968329
564	0.9614741189	0.03365391803
565	0.9615500992	0.03361712486
566	0.9615802982	0.03359601885
567	0.9618278179	0.03352603595
568	0.9619829631	0.03346363035
569	0.9619986434	0.03343730214
570	0.9621443042	0.03340181368
571	0.9623994245	0.03328425048
572	0.9625466459	0.03319955836
573	0.962831134	0.03306951118
574	0.962957615	0.03301863926
575	0.9631787802	0.03296308668
576	0.9634185709	0.03289754296
577	0.9634298475	0.03288759703
578	0.9636179906	0.03282920958
579	0.9637752914	0.03277799924
580	0.963951579	0.03273977493
581	0.9641263368	0.03267701104
582	0.9642954166	0.03259082001
583	0.9643720527	0.03255278798
584	0.9644173288	0.03251786835
585	0.9645800298	0.03243502675
586	0.9646407662	0.03237052526
587	0.9646885689	0.03233417737
588	0.9648202187	0.03228944628
589	0.9648218673	0.0322879373
590	0.9649407842	0.03225135972
591	0.9651946924	0.03217989444
592	0.9653148075	0.03212885798
593	0.965441828	0.03208897922
594	0.9654860537	0.03206498337
595	0.9655558786	0.03203130817
596	0.96564608	0.03198798107
597	0.9656665412	0.03196577874
598	0.9657210364	0.03194811477
599	0.9657879976	0.0319199964
600	0.9659044433	0.03188203124
601	0.9659812367	0.03184407166
602	0.9661753821	0.031738574
603	0.9663365421	0.03166738321
604	0.9664111876	0.03162669806
605	0.9664359572	0.03161989717
606	0.9664392404	0.0316042185
607	0.9664682887	0.03156478239
608	0.966645018	0.03148621419
609	0.9666916656	0.03144883086
610	0.9667502012	0.03140221724
611	0.9668111936	0.0313616813
612	0.9669279246	0.03130047427
613	0.9670921196	0.03123924763
614	0.9671577585	0.03121096209
615	0.9672976435	0.03117182766
616	0.9673211468	0.0311534879
617	0.9674456035	0.03111740358
618	0.9674467849	0.03111571417
619	0.9674650564	0.03109556903
620	0.9675863473	0.03102699791
621	0.9677100393	0.03100105117
622	0.9678482348	0.03095210629
623	0.9679464969	0.03092009715
624	0.9680167451	0.03089162887
625	0.9680518518	0.03087458535
626	0.9681945962	0.03082497231
627	0.9682361211	0.03077608983
628	0.9682513342	0.03075691182
629	0.9683477329	0.03069528652
630	0.9684831411	0.03061082318
631	0.9684861491	0.03060832294
632	0.9687118528	0.0305050585
633	0.9687681109	0.03048009922
634	0.9688969196	0.03044060506
635	0.9689667544	0.03042668308
636	0.969121865	0.03037474513
637	0.9692359529	0.03030725073
638	0.969358668	0.03025320411
639	0.9693826583	0.03024340205
640	0.9695053631	0.03020314672
641	0.9695143843	0.03019831467
642	0.9695734852	0.03017323792
643	0.9696882208	0.0301421878
644	0.9697014634	0.03013143835
645	0.9697314672	0.03011517098
646	0.9699673709	0.03004561846
647	0.9700109728	0.03001710169
648	0.9700954507	0.0299754927
649	0.9701964447	0.02992417008
650	0.9702256495	0.02990542271
651	0.9702574679	0.02987435191
652	0.9703486779	0.02984014071
653	0.9704361942	0.02980778465
654	0.9704400391	0.02980338604
655	0.9704530716	0.02978478654
656	0.9705189298	0.02975671034
657	0.9705228594	0.02974819542
658	0.9705970257	0.02971618006
659	0.9706512461	0.02967251856
660	0.9707246454	0.02963667332
661	0.9707531158	0.02961504998
662	0.9708615346	0.02958045632
663	0.971031605	0.02951337185
664	0.9712113613	0.029439709
665	0.9712097629	0.02943647391
666	0.9713042966	0.02938796512
667	0.9714715062	0.02928955194
668	0.9715089985	0.02927828399
669	0.971608635	0.02924830889
670	0.9716268043	0.02921855459
671	0.971729603	0.02915117135
672	0.97178785	0.02911201162
673	0.971951823	0.02906158921
674	0.971968879	0.02903986627
675	0.9720978447	0.0289816489
676	0.9721209469	0.02895566649
677	0.972190749	0.02892517169
678	0.9722557563	0.02887528846
679	0.9723269586	0.02883095416
680	0.9724080991	0.02876204715
681	0.9724740518	0.02874186715
682	0.9725825508	0.02867432307
683	0.9726741486	0.02862847342
684	0.9726947577	0.02861152995
685	0.9727411368	0.02857869106
686	0.9728252891	0.02851927881
687	0.9728286432	0.02851167509
688	0.9729059607	0.02848292088
689	0.9729679192	0.02845528664
690	0.9730009095	0.02842263228
691	0.9730145298	0.02841253258
692	0.9730460249	0.02838362413
693	0.9730930514	0.02835047086
694	0.9731558501	0.02831968362
695	0.9732935305	0.02824084274
696	0.973356937	0.02822304953
697	0.9733775375	0.02820888122
698	0.9734017333	0.02818821913
699	0.9734724775	0.02814901051
700	0.9736335366	0.02807168963
701	0.9737529488	0.02803152676
702	0.973878758	0.02797462342
703	0.9739421509	0.02793372791
704	0.9740226596	0.0279057024
705	0.9741968319	0.02781267364
706	0.9743333039	0.02776495908
707	0.9743937471	0.02773158095
708	0.9745110269	0.02767748698
709	0.974551268	0.02766557896
710	0.974653808	0.02762683807
711	0.974756252	0.02758488223
712	0.9747890468	0.02756481939
713	0.9748136333	0.0275462842
714	0.974892088	0.02750366239
715	0.974944911	0.0274751674
716	0.9750101911	0.02744267035
717	0.9750577564	0.02740709931
718	0.9750920007	0.02737487707
719	0.9751054031	0.0273534471
720	0.9751955254	0.02731840373
721	0.9752648347	0.02727879125
722	0.9753703447	0.02723898283
723	0.9753973571	0.02722713098
724	0.9754617697	0.02718706347
725	0.9755495308	0.02713937338
726	0.9755786236	0.02711791171
727	0.9756226363	0.02710050674
728	0.9756965031	0.0270536502
729	0.9757477002	0.02702777138
730	0.9758323895	0.02698677729
731	0.9758656399	0.0269675606
732	0.975877111	0.02695691708
733	0.9758951425	0.02693409741
734	0.975980028	0.02689062174
735	0.976077933	0.02685209005
736	0.9761755742	0.02680066794
737	0.9762322171	0.02677393461
738	0.9763188475	0.02673956143
739	0.9763630018	0.02671340266
740	0.9764845748	0.0266513382
741	0.976524801	0.02662920279
742	0.9766029234	0.02657026577
743	0.976635326	0.02654032444
744	0.9766757912	0.02650824587
745	0.9767498307	0.0264779412
746	0.9768068818	0.02642581336
747	0.9768586633	0.02640363177
748	0.9768979778	0.02638572333
749	0.9769906993	0.02633881788
750	0.9770603586	0.02630013837
751	0.9770947956	0.02627395373
752	0.9771392356	0.02625406302
753	0.977201623	0.02622240654
754	0.9772329649	0.0262048067
755	0.9772643257	0.02618411557
756	0.9773083461	0.02615663305
757	0.9773801964	0.02612975501
758	0.977419026	0.02610475218
759	0.9774498783	0.02607352551
760	0.9774984868	0.02604208004
761	0.9775121015	0.02602522255
762	0.9776253071	0.02597840267
763	0.9776421872	0.02596607596
764	0.9777072373	0.02593808837
765	0.9777449878	0.02591050239
766	0.9777859409	0.02588705646
767	0.9778786282	0.02583093549
768	0.9779038434	0.02581812672
769	0.977927456	0.02578795327
770	0.9779294169	0.02578394259
771	0.9779405361	0.02576707266
772	0.977985643	0.02572683061
773	0.9780216319	0.02570382612
774	0.9781010934	0.02563562433
775	0.9781079557	0.02562698055
776	0.9781099108	0.02562531018
777	0.9782283594	0.02556924608
778	0.9782531504	0.02556422541
779	0.9782586783	0.02555461619
780	0.9783444988	0.02550857677
781	0.9783587415	0.02549071244
782	0.978372296	0.0254681002
783	0.9783831843	0.02545039126
784	0.978383305	0.0254500129
785	0.9784886195	0.0253786984
786	0.9785290639	0.02534807721
787	0.9785603514	0.02532541577
788	0.9785952997	0.02529932902
789	0.9786371002	0.02526556995
790	0.9787048595	0.0252316266
791	0.9787179964	0.02522214621
792	0.9788010283	0.0251767094
793	0.9788857243	0.02511461869
794	0.978924068	0.0250840486
795	0.9790047085	0.02502365129
796	0.9790732793	0.02496168862
797	0.9791355101	0.02493778236
798	0.9791526767	0.02492752648
799	0.9791560625	0.02492375697
800	0.9791621452	0.02491222563
801	0.9791724163	0.02489871251
802	0.9792319676	0.02485650957
803	0.9793029632	0.02480546377
804	0.9793887616	0.024770291
805	0.9794550713	0.02474127029
806	0.9795019003	0.02471230069
807	0.9795190233	0.02468968442
808	0.9795219373	0.02468331115
809	0.9795366725	0.02467630278
810	0.9796351649	0.02459957971
811	0.9796558107	0.02458425557
812	0.9796888585	0.02456053907
813	0.9797682014	0.02451890172
814	0.9797993487	0.02449972715
815	0.9798487828	0.02445967554
816	0.9799338101	0.02439518664
817	0.9799948639	0.02434579192
818	0.9800119105	0.02433818251
819	0.9800253452	0.02432746884
820	0.9800518186	0.02429533919
821	0.9801757398	0.02419907423
822	0.9801849275	0.02419145676
823	0.9802113772	0.02417995477
824	0.9802618122	0.02413806109
825	0.9802727324	0.02412424964
826	0.9803063576	0.02408184786
827	0.9803285927	0.02406800041
828	0.9803421643	0.0240615346
829	0.9803764186	0.0240194348
830	0.9804074328	0.02399489332
831	0.980446721	0.02397043292
832	0.9804772724	0.02394885635
833	0.980539915	0.02390938469
834	0.9805908156	0.02388798181
835	0.9806037034	0.02387441289
836	0.9806274017	0.02385771862
837	0.9807276024	0.02380400848
838	0.980801014	0.02376228518
839	0.9808435676	0.02373884957
840	0.9808647736	0.02372135666
841	0.980905059	0.02368337123
842	0.9809520282	0.02365969925
843	0.9810373099	0.02359456708
844	0.9810694392	0.02357493244
845	0.9811137654	0.02354403087
846	0.9811247398	0.02352778321
847	0.9811980082	0.02348784509
848	0.9812293912	0.02347125172
849	0.9812763647	0.02344879859
850	0.9813542773	0.02341984297
851	0.9813950424	0.02339208967
852	0.9814043275	0.0233858186
853	0.9814088553	0.02337396013
854	0.9814518396	0.0233492258
855	0.9814547739	0.02334259587
856	0.9815807112	0.02326597942
857	0.9816124034	0.02325040245
858	0.9816392831	0.02323875964
859	0.9816885772	0.02319749159
860	0.9817661873	0.02315466864
861	0.9818264833	0.02311214026
862	0.9819107097	0.0230831143
863	0.9819806123	0.02302828371
864	0.9820140736	0.02300866799
865	0.9820279522	0.02299148204
866	0.9821010308	0.02296265917
867	0.9821118053	0.0229437641
868	0.9821493227	0.02290059674
869	0.9821842044	0.02288558576
870	0.9822114106	0.02286724691
871	0.9822925692	0.02282756916
872	0.9822944489	0.02282137647
873	0.9823029752	0.02280766361
874	0.982349465	0.02277468659
875	0.9823675944	0.02275655613
876	0.9824145476	0.0227294885
877	0.9824755539	0.02268118518
878	0.9824936356	0.02265382033
